Mano,Probabilidad,Puntos_de_juego,Pares
RC4A,0.011204726994200678,25,Nada
R76A,0.011204726994200678,24,Nada
R75A,0.011204726994200678,23,Nada
R65A,0.011204726994200678,22,Nada
RS6A,0.011204726994200678,27,Nada
RCSA,0.011204726994200678,31,Nada
R74A,0.011204726994200678,22,Nada
RC6A,0.011204726994200678,27,Nada
RC7A,0.011204726994200678,28,Nada
R64A,0.011204726994200678,21,Nada
RS4A,0.011204726994200678,25,Nada
RC5A,0.011204726994200678,26,Nada
RS7A,0.011204726994200678,28,Nada
R54A,0.011204726994200678,20,Nada
RS5A,0.011204726994200678,26,Nada
RSAA,0.009804136119925594,22,Par
RCAA,0.009804136119925594,22,Par
RRCA,0.009804136119925594,31,Par
RR5A,0.009804136119925594,26,Par
R4AA,0.009804136119925594,16,Par
RR7A,0.009804136119925594,28,Par
RRSA,0.009804136119925594,31,Par
RR6A,0.009804136119925594,27,Par
R7AA,0.009804136119925594,19,Par
R6AA,0.009804136119925594,18,Par
R5AA,0.009804136119925594,17,Par
RR4A,0.009804136119925594,25,Par
RRAA,0.008578619104934895,22,Duples
S76A,0.005602363497100339,24,Nada
RC65,0.005602363497100339,31,Nada
RC54,0.005602363497100339,29,Nada
RS75,0.005602363497100339,32,Nada
765A,0.005602363497100339,19,Nada
R754,0.005602363497100339,26,Nada
RS64,0.005602363497100339,30,Nada
RC64,0.005602363497100339,30,Nada
RCS7,0.005602363497100339,37,Nada
S64A,0.005602363497100339,21,Nada
S75A,0.005602363497100339,23,Nada
R764,0.005602363497100339,27,Nada
C64A,0.005602363497100339,21,Nada
RS65,0.005602363497100339,31,Nada
C74A,0.005602363497100339,22,Nada
R765,0.005602363497100339,28,Nada
C65A,0.005602363497100339,22,Nada
CS6A,0.005602363497100339,27,Nada
RCS5,0.005602363497100339,35,Nada
754A,0.005602363497100339,17,Nada
CS5A,0.005602363497100339,26,Nada
S65A,0.005602363497100339,22,Nada
RC74,0.005602363497100339,31,Nada
