,Mano,Probabilidad,Puntos_de_juego,Pares,Ranking_Grandes,Ranking_Chica,Ranking_Pares,Ranking_Juego
0,R75A,0.011204726994200678,23,Nada,97,79,53,16
1,R54A,0.011204726994200678,20,Nada,115,49,53,19
2,R64A,0.011204726994200678,21,Nada,109,54,53,18
3,RC5A,0.011204726994200678,26,Nada,61,84,53,13
4,RC4A,0.011204726994200678,25,Nada,63,63,53,14
5,RS4A,0.011204726994200678,25,Nada,84,61,53,14
6,RC6A,0.011204726994200678,27,Nada,58,99,53,12
7,R76A,0.011204726994200678,24,Nada,94,94,53,15
8,RS5A,0.011204726994200678,26,Nada,82,82,53,13
9,R74A,0.011204726994200678,22,Nada,99,58,53,17
10,RC7A,0.011204726994200678,28,Nada,54,109,53,11
11,RCSA,0.011204726994200678,31,Nada,49,115,53,1
12,R65A,0.011204726994200678,22,Nada,107,75,53,17
13,RS7A,0.011204726994200678,28,Nada,75,107,53,11
14,RS6A,0.011204726994200678,27,Nada,79,97,53,12
15,RR4A,0.009804136119925594,25,Par,35,64,45,14
16,RR6A,0.009804136119925594,27,Par,30,100,45,12
17,RR5A,0.009804136119925594,26,Par,33,85,45,13
18,R4AA,0.009804136119925594,16,Par,119,15,52,23
19,RR7A,0.009804136119925594,28,Par,26,110,45,11
20,RRCA,0.009804136119925594,31,Par,15,119,45,1
21,RCAA,0.009804136119925594,22,Par,64,35,52,17
22,R7AA,0.009804136119925594,19,Par,100,30,52,20
23,RRSA,0.009804136119925594,31,Par,21,116,45,1
24,R5AA,0.009804136119925594,17,Par,116,21,52,22
25,RSAA,0.009804136119925594,22,Par,85,33,52,17
26,R6AA,0.009804136119925594,18,Par,110,26,52,21
27,RRAA,0.008578619104934895,22,Duples,36,36,8,17
28,RC75,0.005602363497100339,32,Nada,52,249,53,2
29,RCS6,0.005602363497100339,36,Nada,46,290,53,5
30,RS74,0.005602363497100339,31,Nada,74,191,53,1
31,RS76,0.005602363497100339,33,Nada,72,282,53,8
32,RC65,0.005602363497100339,31,Nada,56,239,53,1
33,C74A,0.005602363497100339,22,Nada,183,57,53,17
34,RCS4,0.005602363497100339,34,Nada,48,199,53,7
35,RS54,0.005602363497100339,29,Nada,81,166,53,10
36,764A,0.005602363497100339,18,Nada,284,51,53,21
37,C64A,0.005602363497100339,21,Nada,193,53,53,18
38,654A,0.005602363497100339,16,Nada,310,45,53,23
39,754A,0.005602363497100339,17,Nada,290,46,53,22
40,RS65,0.005602363497100339,31,Nada,77,237,53,1
41,S65A,0.005602363497100339,22,Nada,247,73,53,17
42,RCS5,0.005602363497100339,35,Nada,47,255,53,6
43,CS5A,0.005602363497100339,26,Nada,166,81,53,13
44,S74A,0.005602363497100339,22,Nada,239,56,53,17
45,C76A,0.005602363497100339,24,Nada,178,93,53,15
46,RC54,0.005602363497100339,29,Nada,60,168,53,10
47,S64A,0.005602363497100339,21,Nada,249,52,53,18
48,RC76,0.005602363497100339,33,Nada,51,284,53,8
49,R654,0.005602363497100339,25,Nada,106,159,53,14
50,S54A,0.005602363497100339,20,Nada,255,47,53,19
51,C54A,0.005602363497100339,20,Nada,199,48,53,19
52,CS7A,0.005602363497100339,28,Nada,159,106,53,11
53,CS4A,0.005602363497100339,25,Nada,168,60,53,14
54,RS64,0.005602363497100339,30,Nada,78,181,53,9
55,765A,0.005602363497100339,19,Nada,282,72,53,20
56,R754,0.005602363497100339,26,Nada,96,163,53,13
57,CS6A,0.005602363497100339,27,Nada,163,96,53,12
58,S75A,0.005602363497100339,23,Nada,237,77,53,16
59,RC74,0.005602363497100339,31,Nada,53,193,53,1
60,S76A,0.005602363497100339,24,Nada,234,92,53,15
61,C65A,0.005602363497100339,22,Nada,191,74,53,17
62,R765,0.005602363497100339,28,Nada,92,234,53,11
63,RCS7,0.005602363497100339,37,Nada,45,310,53,4
64,R764,0.005602363497100339,27,Nada,93,178,53,12
65,RS75,0.005602363497100339,32,Nada,73,247,53,2
66,C75A,0.005602363497100339,23,Nada,181,78,53,16
67,RC64,0.005602363497100339,30,Nada,57,183,53,9
68,C7AA,0.004902068059962797,19,Par,184,29,52,20
69,76AA,0.004902068059962797,15,Par,285,23,52,24
70,S5AA,0.004902068059962797,17,Par,256,19,52,22
71,75AA,0.004902068059962797,14,Par,291,18,52,25
72,RR64,0.004902068059962797,30,Par,29,184,45,9
73,RRS6,0.004902068059962797,36,Par,18,291,45,5
74,RRC7,0.004902068059962797,37,Par,11,314,45,4
75,RRRA,0.004902068059962797,31,Medias,8,120,37,1
76,C4AA,0.004902068059962797,16,Par,203,14,52,23
77,64AA,0.004902068059962797,12,Par,314,11,52,27
78,RR74,0.004902068059962797,31,Par,25,194,45,1
79,RRC6,0.004902068059962797,36,Par,12,294,45,5
80,RRC5,0.004902068059962797,35,Par,13,259,45,6
81,S6AA,0.004902068059962797,18,Par,250,24,52,21
82,C5AA,0.004902068059962797,17,Par,200,20,52,22
83,74AA,0.004902068059962797,13,Par,294,12,52,26
84,RRCS,0.004902068059962797,40,Par,10,324,45,3
85,RAAA,0.004902068059962797,13,Medias,120,8,44,26
86,RR54,0.004902068059962797,29,Par,32,169,45,10
87,RRS4,0.004902068059962797,34,Par,20,200,45,7
88,RRC4,0.004902068059962797,34,Par,14,203,45,7
89,RRS7,0.004902068059962797,37,Par,17,311,45,4
90,CSAA,0.004902068059962797,22,Par,169,32,52,17
91,S7AA,0.004902068059962797,19,Par,240,28,52,20
92,54AA,0.004902068059962797,11,Par,324,10,52,28
93,RR65,0.004902068059962797,31,Par,28,240,45,1
94,S4AA,0.004902068059962797,16,Par,259,13,52,23
95,C6AA,0.004902068059962797,18,Par,194,25,52,21
96,65AA,0.004902068059962797,13,Par,311,17,52,26
97,RR75,0.004902068059962797,32,Par,24,250,45,2
98,RRS5,0.004902068059962797,35,Par,19,256,45,6
99,RR76,0.004902068059962797,33,Par,23,285,45,8
100,R44A,0.004201772622825254,19,Par,118,43,51,20
101,R55A,0.004201772622825254,21,Par,113,70,50,18
102,RCCA,0.004201772622825254,31,Par,43,118,46,1
103,R77A,0.004201772622825254,25,Par,90,104,48,14
104,R66A,0.004201772622825254,23,Par,104,90,49,16
105,RSSA,0.004201772622825254,31,Par,70,113,47,1
106,C765,0.0028011817485501696,28,Nada,176,233,53,11
107,CS76,0.0028011817485501696,33,Nada,156,281,53,8
108,CS64,0.0028011817485501696,30,Nada,162,180,53,9
109,C764,0.0028011817485501696,27,Nada,177,177,53,12
110,S765,0.0028011817485501696,28,Nada,232,232,53,11
111,7654,0.0028011817485501696,22,Nada,281,156,53,17
112,CS75,0.0028011817485501696,32,Nada,157,246,53,2
113,CS54,0.0028011817485501696,29,Nada,165,165,53,10
